あ,a
い,i
う,u
え,e
お,o
か,ka
が,ga
き,ki
きゃ,kya
きゅ,kyu
きょ,kyo
ぎゃ,gya
ぎゅ,gyu
ぎょ,gyo
く,ku
け,ke
こ,ko
さ,sa
し,shi
しゃ,sha
しゅ,shu
しょ,sho
じゃ,ja
じゅ,ju
じょ,jo
す,su
ずっと,zutto
せ,se
そ,so
た,ta
ち,chi
ちゃ,cha
ちゅ,chu
ちょ,cho
つ,tsu
て,te
と,to
ど,do
な,na
に,ni
にゃ,nya
にゅ,nyu
にょ,nyo
ぬ,nu
ね,ne
の,no
は,ha
ひ,hi
ひゃ,hya
ひゅ,hyu
ひょ,hyo
びゃ,bya
びゅ,byu
びょ,byo
ぴゃ,pya
ぴゅ,pyu
ぴょ,pyo
ふ,fu
へ,he
ほ,ho
ま,ma
み,mi
みゃ,mya
みゅ,myu
みょ,myo
む,mu
め,me
も,mo
や,ya
ゆ,yu
よ,yo
ら,ra
り,ri
りゃ,rya
りゅ,ryu
りょ,ryo
る,ru
れ,re
ろ,ro
わ,wa
を,wo
ん,n
ア,a
イ,i
ウ,u
ウィ,wi
ウェ,we
ウォ,wo
エ,e
オ,o
カ,ka
ガ,ga
キ,ki
キャ,kya
キュ,kyu
キョ,kyo
ギ,gi
ギャ,gya
ギュ,gyu
ギョ,gyo
ク,ku
グ,gu
ケ,ke
ゲ,ge
コ,ko
ゴ,go
サ,sa
ザ,za
シ,shi
シェ,he
シャ,sha
シュ,shu
ショ,sho
ジ,ji
ジェ,je
ジャ,ja
ジュ,ju
ジョ,jo
ス,su
ズ,zu
セ,se
ゼ,ze
ソ,so
ゾ,zo
タ,ta
ダ,da
チ,chi
チェ,he
チャ,cha
チュ,chu
チョ,cho
ヂ,ji
ツ,tsu
ツァ,sa
ツィ,si
ツェ,se
ツォ,so
ヅ,zu
テ,te
ティ,ti
デ,de
ディ,di
デュ,du
ト,to
トゥ,tu
ド,do
ナ,na
ニ,ni
ニャ,nya
ニュ,nyu
ニョ,nyo
ヌ,nu
ネ,ne
ノ,no
ハ,ha
バ,ba
パ,pa
ヒ,hi
ヒャ,hya
ヒュ,hyu
ヒョ,hyo
ビ,bi
ビャ,bya
ビュ,byu
ビョ,byo
ピ,pi
ピャ,pya
ピュ,pya
ピョ,pyu
フ,fu
ファ,fa
フィ,fi
フェ,fe
フォ,fo
フュ,yu
ブ,bu
プ,pu
ヘ,he
ベ,be
ペ,pe
ホ,ho
ボ,bo
ポ,po
マ,ma
ミ,mi
ミャ,mya
ミュ,myu
ミョ,myo
ム,mu
メ,me
モ,mo
ヤ,ya
ユ,yu
ヨ,yo
ラ,ra
リ,ri
リャ,rya
リュ,ryu
リョ,ryo
ル,ru
レ,re
ロ,ro
ワ,wa
ヲ,wo
ン,n
ヴァ,va
ヴィ,vi
ヴェ,ve
ヴォ,vo
互い,tagai
今日,kyou
会って,aitte
優しく,yasashiku
先,saki
出来ない,dekinai
合って,atte
嘘,uso
夜だって,yadatte
夢,yume
好き,suki
少し,sukoshi
帰らない,kaeranai
幸せ,shiawase
引き潮に,hikishio
心,kokoro
怖いだけなの,kowaidakenano
恋,koi
恋人って,koibitotte
感じている,kanjiteiru
方法など,houhounado
日,hi
昨日まで,sakujyomade
時間埋めまし,jikanumemashi
欲しい,hoshii
求めて,motomete
波,nami
無かった,nakatta
無邪気,mujaki
生きて,ikite
知らない,shiranai
私,watashi
笑う,warau
約束,yakusoku
続く,tsuzuku
虚ろな,utsuronai
見せて,misete
言われて,iwarete
話してみたい,hanashitemitai
迷わない,mayowanai
迷わない,mayowanai
逃げる,nigeru
違う,chigau
離れ,hanare
静かす,shizukasu
頃の,koro
だって,datte
